#      time         order        tairmean     top       
  72.00000000       1.0000       21.002       20.908    
  72.16000000       1.0000       21.019       20.904    
  72.32000000       1.0000       21.002       20.892    
  72.38621698       1.0000       20.995       20.888    
  72.38621698       1.0000       20.995       20.888    
  72.64221698       1.0000       20.990       20.890    
  72.89821698       1.0000       20.992       20.896    
  73.41021698       1.0000       20.999       20.900    
  74.43421698       1.0000       21.001       20.898    
  75.93421698       1.0000       21.001       20.892    
  77.43421698       1.0000       21.000       20.888    
  78.93421698       1.0000       21.000       20.885    
  80.43421698       1.0000       20.999       20.884    
  81.93421698       1.0000       20.999       20.896    
  83.43421698       1.0000       21.000       20.904    
  84.93421698       1.0000       21.001       20.909    
  86.43421698       1.0000       20.995       20.912    
  87.93421698       1.0000       20.998       20.913    
  89.43421698       1.0000       21.001       20.907    
  90.93421698       1.0000       21.000       20.905    
  92.43421698       1.0000       21.001       20.901    
  93.93421698       1.0000       21.000       20.899    
  95.43421698       1.0000       21.001       20.894    
  96.00000000       1.0000       21.002       20.892    
  96.00000000       1.0000       21.002       20.892    
  96.30158031       1.0000       21.000       20.890    
  96.39334524       1.0000       20.999       20.890    
  96.39334525       1.0000       20.999       20.890    
  96.63460949       1.0000       20.999       20.890    
  96.87587374       1.0000       21.000       20.890    
  97.35840222       1.0000       21.000       20.889    
  98.32345920       1.0000       21.000       20.888    
  99.82345920       1.0000       21.000       20.885    
  101.3234592       1.0000       21.001       20.881    
  102.8234592       1.0000       21.000       20.879    
  104.3234592       1.0000       20.998       20.882    
  105.8234592       1.0000       21.004       20.900    
  107.3234592       1.0000       21.014       20.991    
  108.8234592       1.0000       21.000       20.976    
  110.3234592       1.0000       20.997       21.005    
  111.8234592       1.0000       20.989       20.956    
  113.3234592       1.0000       20.996       20.949    
  114.8234592       1.0000       20.998       20.945    
  116.3234592       1.0000       21.002       20.933    
  117.8234592       1.0000       21.001       20.923    
  119.3234592       1.0000       20.998       20.920    
  120.0000000       1.0000       20.999       20.919    
  120.0000000       1.0000       20.999       20.919    
  120.3064111       1.0000       21.002       20.919    
  120.4004368       1.0000       21.002       20.919    
  120.4004368       1.0000       21.002       20.919    
  120.6455657       1.0000       21.002       20.917    
  120.8906945       1.0000       21.002       20.915    
  121.3809522       1.0000       20.998       20.913    
  122.3614677       1.0000       20.997       20.915    
  123.8614677       1.0000       20.999       20.915    
  125.3614677       1.0000       20.998       20.917    
  126.7323077       1.0000       21.000       20.917    
  126.7323077       1.0000       21.000       20.917    
  128.3011324       1.0000       20.999       20.919    
  129.6233333       1.0000       21.003       20.921    
  129.6233333       1.0000       21.003       20.921    
  130.8783931       1.0000       21.005       20.929    
  132.1334529       1.0000       21.010       20.939    
  133.6334529       1.0000       21.001       20.936    
  135.1334529       1.0000       20.996       20.921    
  136.6334529       1.0000       20.998       20.911    
  138.1334529       1.0000       21.000       20.905    
  139.6334529       1.0000       20.999       20.900    
  141.1334529       1.0000       21.003       20.893    
  142.6334529       1.0000       21.003       20.880    
  144.0000000       1.0000       20.999       20.876    
  144.0000000       1.0000       20.999       20.876    
