#      time         order        brennstof1   brennstoff   hilfsenerg   luftung      raumkuhlu 
  85.28682581       1.0000       0.0000       686.96      1.20000E-06   0.0000       0.0000    
  86.78682581       1.0000       0.0000       767.99      1.20000E-06   0.0000       0.0000    
  88.28682581       1.0000       0.0000       797.99      1.20000E-06   0.0000       0.0000    
  89.78682581       1.0000       0.0000       799.79      1.20000E-06   0.0000       0.0000    
  91.28682581       1.0000       0.0000       809.94      1.20000E-06   0.0000       0.0000    
  92.78682581       1.0000       0.0000       813.27      1.20000E-06   0.0000       0.0000    
  94.28682581       1.0000       0.0000       813.66      1.20000E-06   0.0000       0.0000    
  95.78682581       1.0000       0.0000       802.80      1.20000E-06   0.0000       0.0000    
  96.39400632       1.0000       0.0000       802.55      1.20000E-06   0.0000       0.0000    
  96.39400633       1.0000       0.0000       802.55      1.20000E-06   0.0000       0.0000    
  98.79400633       1.0000       0.0000       810.79      1.20000E-06   0.0000       0.0000    
  100.2940063       1.0000       0.0000       816.56      1.20000E-06   0.0000       0.0000    
  101.7940063       1.0000       0.0000       813.16      1.20000E-06   0.0000       0.0000    
  103.2940063       1.0000       0.0000       830.05      1.20000E-06   0.0000       0.0000    
  104.7940063       1.0000       0.0000       822.94      1.20000E-06   0.0000       0.0000    
  106.2940063       1.0000       0.0000       610.22      1.20000E-06   0.0000       0.0000    
  107.7940063       1.0000       0.0000       233.91      1.20000E-06   0.0000       0.0000    
  109.2940063       1.0000       0.0000       227.47      1.20000E-06   0.0000       0.0000    
  110.7940063       1.0000       0.0000       336.06      1.20000E-06   0.0000       0.0000    
  112.2940063       1.0000       0.0000       653.49      1.20000E-06   0.0000       0.0000    
  113.7940063       1.0000       0.0000       725.11      1.20000E-06   0.0000       0.0000    
  115.2940063       1.0000       0.0000       745.63      1.20000E-06   0.0000       0.0000    
  116.7940063       1.0000       0.0000       722.87      1.20000E-06   0.0000       0.0000    
  118.2940063       1.0000       0.0000       738.92      1.20000E-06   0.0000       0.0000    
  119.7940063       1.0000       0.0000       771.99      1.20000E-06   0.0000       0.0000    
  120.4010897       1.0000       0.0000       776.36      1.20000E-06   0.0000       0.0000    
  120.4010897       1.0000       0.0000       776.36      1.20000E-06   0.0000       0.0000    
  122.8010897       1.0000       0.0000       823.30      1.20000E-06   0.0000       0.0000    
  124.3010897       1.0000       0.0000       848.91      1.20000E-06   0.0000       0.0000    
  125.8010897       1.0000       0.0000       857.36      1.20000E-06   0.0000       0.0000    
  126.7571571       1.0000       0.0000       878.28      1.20000E-06   0.0000       0.0000    
  126.7571571       1.0000       0.0000       878.28      1.20000E-06   0.0000       0.0000    
  129.1571571       1.0000       0.0000       873.38      1.20000E-06   0.0000       0.0000    
  129.6233333       1.0000       0.0000       848.04      1.20000E-06   0.0000       0.0000    
  129.6233333       1.0000       0.0000       848.04      1.20000E-06   0.0000       0.0000    
  131.5433333       1.0000       0.0000       622.80      1.20000E-06   0.0000       0.0000    
  133.0433333       1.0000       0.0000       552.48      1.20000E-06   0.0000       0.0000    
  134.5433333       1.0000       0.0000       622.71      1.20000E-06   0.0000       0.0000    
  136.0433333       1.0000       0.0000       761.90      1.20000E-06   0.0000       0.0000    
  137.5433333       1.0000       0.0000       778.60      1.20000E-06   0.0000       0.0000    
  139.0433333       1.0000       0.0000       802.00      1.20000E-06   0.0000       0.0000    
  140.5433333       1.0000       0.0000       801.73      1.20000E-06   0.0000       0.0000    
  142.0433333       1.0000       0.0000       746.49      1.20000E-06   0.0000       0.0000    
  143.5433333       1.0000       0.0000       754.57      1.20000E-06   0.0000       0.0000    
  144.4080312       1.0000       0.0000       753.32      1.20000E-06   0.0000       0.0000    
  144.4080312       1.0000       0.0000       753.32      1.20000E-06   0.0000       0.0000    
  146.8080312       1.0000       0.0000       767.32      1.20000E-06   0.0000       0.0000    
  148.3080312       1.0000       0.0000       787.99      1.20000E-06   0.0000       0.0000    
  149.8080312       1.0000       0.0000       779.47      1.20000E-06   0.0000       0.0000    
  151.3080312       1.0000       0.0000       771.05      1.20000E-06   0.0000       0.0000    
  152.8080312       1.0000       0.0000       756.90      1.20000E-06   0.0000       0.0000    
  154.3080312       1.0000       0.0000       617.46      1.20000E-06   0.0000       0.0000    
  155.8080312       1.0000       0.0000       549.26      1.20000E-06   0.0000       0.0000    
  157.3080312       1.0000       0.0000       465.14      1.20000E-06   0.0000       0.0000    
  158.8080312       1.0000       0.0000       149.90      1.20000E-06   0.0000       0.0000    
  160.3080312       1.0000       0.0000       588.48      1.20000E-06   0.0000       0.0000    
  161.5820078       1.0000       0.0000       664.87      1.20000E-06   0.0000       0.0000    
