#      time         order        tair      
  236.8282981       1.0000       12.117    
  238.3282981       1.0000       12.100    
  239.8282981       1.0000       11.934    
  240.4347882       1.0000       11.378    
  240.4347882       1.0000       11.378    
  242.8347882       1.0000       10.950    
  244.3347882       1.0000       11.067    
  245.8347882       1.0000       11.283    
  247.3347882       1.0000       10.699    
  248.8347882       1.0000       9.9661    
  250.3347882       1.0000       10.167    
  251.8347882       1.0000       11.084    
  253.3347882       1.0000       11.800    
  254.8347882       1.0000       11.016    
  256.3347882       1.0000       11.500    
  257.8347882       1.0000       11.050    
  259.3347882       1.0000       10.499    
  260.8347882       1.0000       9.6826    
  262.3347882       1.0000       8.8330    
  263.8347882       1.0000       8.3661    
  264.4411417       1.0000       8.3882    
  264.4411417       1.0000       8.3882    
  266.8411417       1.0000       7.7953    
  268.3411417       1.0000       7.4589    
  269.8411417       1.0000       7.4729    
  271.3411417       1.0000       8.5753    
  272.8411417       1.0000       8.9635    
  274.3411417       1.0000       10.007    
  275.8411417       1.0000       11.189    
  277.3411417       1.0000       10.666    
  278.8411417       1.0000       10.516    
  280.3411417       1.0000       9.7953    
  281.8411417       1.0000       9.1477    
  283.3411417       1.0000       8.4659    
  284.8411417       1.0000       8.3159    
  286.3411417       1.0000       7.1341    
  287.8411417       1.0000       7.4523    
  288.4473531       1.0000       6.4264    
  288.4473531       1.0000       6.4264    
  290.8473531       1.0000       4.1121    
  292.3473531       1.0000       2.4526    
  293.8473531       1.0000       2.2237    
  295.3473531       1.0000       3.0737    
  296.8473531       1.0000       4.0779    
  298.3473531       1.0000       3.9431    
  299.8473531       1.0000       4.8237    
  301.3473531       1.0000       5.8000    
  302.8473531       1.0000       5.6305    
  304.3473531       1.0000       5.5653    
  305.8473531       1.0000       5.3305    
  307.3473531       1.0000       5.0653    
  308.8473531       1.0000       5.1695    
  310.3473531       1.0000       5.0305    
  311.8473531       1.0000       4.8153    
  312.4534167       1.0000       4.6640    
  312.4534167       1.0000       4.6640    
  314.8534167       1.0000       4.4147    
  316.3534167       1.0000       4.3233    
  317.8534167       1.0000       3.8293    
  319.3534167       1.0000       3.9474    
  320.8534167       1.0000       3.8879    
  322.3534167       1.0000       5.1767    
  323.8534167       1.0000       6.6948    
  325.3534167       1.0000       6.6767    
  326.8534167       1.0000       7.2560    
  328.3534167       1.0000       6.6940    
  329.8534167       1.0000       6.2440    
  331.3534167       1.0000       6.2707    
  332.8534167       1.0000       5.7173    
  334.3534167       1.0000       5.0233    
  335.8534167       1.0000       4.2733    
  336.4593274       1.0000       4.0622    
  336.4593274       1.0000       4.0622    
  338.8593274       1.0000       3.8000    
  340.3593274       1.0000       3.7922    
  341.8593274       1.0000       3.7719    
  343.3593274       1.0000       3.7078    
  344.8593274       1.0000       5.7905    
  346.3593274       1.0000       6.7000    
  347.8593274       1.0000       6.7859    
  349.3593274       1.0000       6.8922    
  350.8593274       1.0000       6.5281    
  352.3593274       1.0000       6.4922    
  353.8593274       1.0000       6.5578    
  355.3593274       1.0000       6.0281    
  356.8593274       1.0000       5.4703    
  358.3593274       1.0000       4.3813    
  359.8593274       1.0000       1.9829    
  360.4650800       1.0000       1.0559    
  360.4650800       1.0000       1.0559    
  362.8650800       1.0000      0.44841    
  364.3650800       1.0000       1.6921    
  365.8650800       1.0000       1.9405    
  367.3650800       1.0000       2.5460    
  368.8650800       1.0000       4.0976    
  370.3650800       1.0000       5.3556    
  371.7767932       1.0000       6.3438    
  373.0718212       1.0000       6.8785    
  374.5718212       1.0000       6.4285    
  375.6801918       1.0000       5.5518    
  376.8652554       1.0000       4.5078    
  377.8688145       1.0000       3.7918    
  378.7613634       1.0000       3.6239    
  380.2613634       1.0000       4.0784    
  381.7613634       1.0000       3.7670    
  383.2613634       1.0000       3.2875    
  384.4702040       1.0000       3.5358    
  384.4702040       1.0000       3.5358    
  386.8702040       1.0000       4.0870    
  388.3702040       1.0000       5.0851    
  389.8702040       1.0000       5.0519    
  391.3702040       1.0000       4.5630    
  392.8702040       1.0000       6.5015    
  394.3702040       1.0000       7.4481    
  395.8702040       1.0000       7.7870    
  397.3702040       1.0000       7.7370    
  398.8702040       1.0000       8.0611    
  400.3702040       1.0000       7.6740    
  401.8702040       1.0000       5.1024    
  403.3702040       1.0000       2.1000    
  404.8702040       1.0000       2.1000    
  406.3702040       1.0000       2.5111    
  407.8702040       1.0000       2.8740    
  408.4760928       1.0000       2.9476    
  408.4760928       1.0000       2.9476    
  410.8760928       1.0000       3.3876    
  412.3760928       1.0000       3.8128    
  413.8760928       1.0000       4.0876    
  415.3760928       1.0000       4.6752    
  416.8760928       1.0000       5.0628    
  418.3760928       1.0000       5.5128    
  419.8760928       1.0000       5.8752    
  421.3760928       1.0000       6.1633    
  422.8760928       1.0000       6.6876    
  424.3760928       1.0000       6.4248    
  425.8760928       1.0000       5.8620    
  427.3760928       1.0000       5.7248    
  428.8760928       1.0000       4.8115    
  430.3760928       1.0000       3.8248    
  431.8760928       1.0000       3.3496    
  432.4813407       1.0000       3.1075    
  432.4813407       1.0000       3.1075    
  434.8813407       1.0000       2.4237    
  436.3813407       1.0000       2.0475    
  437.8813407       1.0000       1.6237    
  439.3813407       1.0000      0.25679    
  439.7066667       1.0000     -3.60000E-02
  439.7066667       1.0000     -3.60000E-02
  441.0467748       1.0000     -0.35790    
  441.4844444       1.0000      3.60000E-02
  441.4844444       1.0000      3.60000E-02
  442.5565309       1.0000       1.0009    
  443.4525300       1.0000       1.7620    
  444.2349426       1.0000       2.3410    
  445.7349426       1.0000       2.9470    
  447.2349426       1.0000       2.4886    
  448.2427097       1.0000       1.5330    
  449.1881582       1.0000      0.68118    
  450.0723392       1.0000      0.54936    
  451.2737668       1.0000      0.14639    
  452.7737668       1.0000      0.64525    
  454.2737668       1.0000      9.04933E-02
  454.5400000       1.0000     -1.60000E-02
  454.5400000       1.0000     -1.60000E-02
  455.9735985       1.0000     -0.58944    
  456.4775108       1.0000     -0.50450    
  456.4775108       1.0000     -0.50450    
  457.1864113       1.0000     -0.19495    
  457.4036364       1.0000      4.40000E-02
  457.4036364       1.0000      4.40000E-02
  457.9707567       1.0000      0.66783    
  458.2962963       1.0000     -0.10000    
  458.2962963       1.0000     -0.10000    
  458.7499926       1.0000      -1.3250    
  459.2036889       1.0000      -2.3259    
  460.1110815       1.0000      -3.6444    
  461.6110815       1.0000      -4.0611    
  463.1110815       1.0000      -3.9222    
  464.6110815       1.0000      -4.0445    
  466.1110815       1.0000      -2.8778    
  467.6110815       1.0000     -0.18338    
  467.7733333       1.0000      6.00000E-02
  467.7733333       1.0000      6.00000E-02
  469.2251615       1.0000      0.70000    
  470.6769896       1.0000      0.76770    
  472.1769896       1.0000       1.3708    
  473.6769896       1.0000       1.9708    
  475.1769896       1.0000       2.9708    
  476.6769896       1.0000       3.5031    
  478.1769896       1.0000       3.9531    
  479.6769896       1.0000       4.1323    
  480.4918399       1.0000       4.0508    
  480.4918399       1.0000       4.0508    
  482.8147649       1.0000       3.5630    
  484.3147649       1.0000       3.8000    
  485.8147649       1.0000       3.7185    
  487.3147649       1.0000       4.0944    
  488.8147649       1.0000       4.7889    
  490.3147649       1.0000       5.2630    
  491.8147649       1.0000       5.4000    
  493.3147649       1.0000       5.9630    
  494.8147649       1.0000       6.9148    
  496.3147649       1.0000       6.7315    
  497.8147649       1.0000       7.0444    
  499.3147649       1.0000       7.8000    
  500.8147649       1.0000       8.6148    
  502.3147649       1.0000       9.4889    
  503.8147649       1.0000       10.063    
  504.4962582       1.0000       10.348    
  504.4962582       1.0000       10.348    
  506.8962582       1.0000       10.121    
  508.3962582       1.0000       10.040    
  509.8962582       1.0000       10.190    
  511.3962582       1.0000       10.260    
  512.8962582       1.0000       10.200    
  514.3962582       1.0000       9.9189    
  515.8962582       1.0000       10.190    
  517.3962582       1.0000       10.219    
  518.8962582       1.0000       10.400    
  520.3962582       1.0000       10.200    
  521.8962582       1.0000       10.021    
  523.3962582       1.0000       9.6811    
  524.8962582       1.0000       8.8726    
  526.3962582       1.0000       8.8019    
  527.8962582       1.0000       8.2311    
  528.5005296       1.0000       8.0498    
  528.5005296       1.0000       8.0498    
  530.9005296       1.0000       7.9901    
  532.4005296       1.0000       7.6202    
  533.9005296       1.0000       7.7099    
  535.4005296       1.0000       7.4798    
  536.9005296       1.0000       7.4801    
  538.4005296       1.0000       8.0801    
  539.9005296       1.0000       8.0199    
  541.4005296       1.0000       6.9997    
  542.9005296       1.0000       6.4298    
  544.4005296       1.0000       5.5796    
  545.9005296       1.0000       4.9199    
