#      time         order        q_cool       q_equip      q_heat       q_light      q_loss       q_occ        qintw        ql_a         qventil      qwcb         qwind     
  72.00000000       1.0000       0.0000       0.0000       1372.2       0.0000       0.0000      1.68610E-28   64.606     -1.73671E-07  -401.43      -545.66      -428.94    
  72.16000000       1.0000       0.0000       0.0000       1303.1       0.0000       0.0000      1.68646E-28   69.985     -1.78168E-07  -410.07      -531.94      -436.79    
  72.32000000       1.0000       0.0000       0.0000       1297.7       0.0000       0.0000      1.68608E-28   78.732     -1.82294E-07  -420.05      -525.86      -444.70    
  72.38621698       1.0000       0.0000       0.0000       1304.6       0.0000       0.0000      1.68596E-28   80.467     -1.84011E-07  -424.23      -525.79      -447.98    
  72.38621698       1.0000       0.0000       0.0000       1304.6       0.0000       0.0000      1.68596E-28   80.467     -1.84011E-07  -424.23      -525.79      -447.98    
  72.64221698       1.0000       0.0000       0.0000       1358.5       0.0000       0.0000      1.68585E-28   75.512     -1.90866E-07  -440.96      -536.84      -459.97    
  72.89821698       1.0000       0.0000       0.0000       1401.7       0.0000       0.0000      1.68589E-28   70.109     -1.97803E-07  -457.94      -547.35      -469.47    
  73.41021698       1.0000       0.0000       0.0000       1411.8       0.0000       0.0000      1.68604E-28   66.281     -1.98409E-07  -459.48      -552.02      -469.07    
  74.43421698       1.0000       0.0000       0.0000       1383.7       0.0000       0.0000      1.68613E-28   67.273     -1.93363E-07  -447.15      -547.99      -459.47    
  75.93421698       1.0000       0.0000       0.0000       1340.2       0.0000       0.0000      1.68609E-28   68.713     -1.85861E-07  -428.88      -542.37      -441.46    
  77.43421698       1.0000       0.0000       0.0000       1342.1       0.0000       0.0000      1.59054E-28   68.270     -1.85156E-07  -427.18      -542.24      -444.98    
  78.93421698       1.0000       0.0000       0.0000       1340.2       0.0000       0.0000      8.72299E-29   67.770     -1.83334E-07  -422.71      -541.18      -447.86    
  80.43421698       1.0000       0.0000       0.0000       1357.9       0.0000       0.0000      1.38652E-29   65.155     -1.85876E-07  -428.83      -545.03      -452.82    
  81.93421698       1.0000       0.0000       0.0000       1380.4       0.0000       0.0000       0.0000       38.308     -1.97053E-07  -456.05      -594.77      -371.26    
  83.43421698       1.0000       0.0000       0.0000       1375.6       0.0000       0.0000      1.91082E-29   22.896     -2.00801E-07  -465.26      -614.76      -321.84    
  84.93421698       1.0000       0.0000       0.0000       1327.6       0.0000       0.0000      1.00202E-28   14.594     -1.96564E-07  -454.88      -621.51      -269.09    
  86.43421698       1.0000       0.0000       0.0000       1481.0       0.0000       0.0000      1.38646E-29   28.479     -2.17048E-07  -505.37      -593.19      -414.82    
  87.93421698       1.0000       0.0000       0.0000       1529.2       0.0000       0.0000      6.28593E-31   39.389     -2.19373E-07  -511.18      -568.01      -492.68    
  89.43421698       1.0000       0.0000       0.0000       1485.5       0.0000       0.0000      6.31301E-29   43.547     -2.10398E-07  -488.95      -557.80      -485.61    
  90.93421698       1.0000       0.0000       0.0000       1494.0       0.0000       0.0000      1.33023E-28   42.804     -2.11389E-07  -491.39      -560.82      -488.27    
  92.43421698       1.0000       0.0000       0.0000       1475.8       0.0000       0.0000      1.39663E-28   43.579     -2.07424E-07  -481.63      -559.09      -482.29    
  93.93421698       1.0000       0.0000       0.0000       1467.3       0.0000       0.0000      1.67676E-28   43.327     -2.05980E-07  -478.08      -560.19      -476.13    
  95.43421698       1.0000       0.0000       0.0000       1424.1       0.0000       0.0000      1.68609E-28   45.245     -1.98439E-07  -459.60      -555.18      -458.46    
  96.00000000       1.0000       0.0000       0.0000       1399.7       0.0000       0.0000      1.68610E-28   46.473     -1.94159E-07  -449.14      -551.90      -449.02    
  96.00000000       1.0000       0.0000       0.0000       1399.7       0.0000       0.0000      1.68610E-28   46.473     -1.94159E-07  -449.14      -551.90      -449.02    
  96.30158031       1.0000       0.0000       0.0000       1399.1       0.0000       0.0000      1.68605E-28   47.352     -1.94460E-07  -449.86      -551.52      -449.67    
  96.39334524       1.0000       0.0000       0.0000       1400.3       0.0000       0.0000      1.68605E-28   47.231     -1.94556E-07  -450.09      -551.86      -449.87    
  96.39334525       1.0000       0.0000       0.0000       1400.3       0.0000       0.0000      1.68605E-28   47.231     -1.94556E-07  -450.09      -551.86      -449.87    
  96.63460949       1.0000       0.0000       0.0000       1403.4       0.0000       0.0000      1.68605E-28   46.732     -1.94818E-07  -450.73      -552.83      -450.43    
  96.87587374       1.0000       0.0000       0.0000       1405.6       0.0000       0.0000      1.68605E-28   46.417     -1.95080E-07  -451.37      -553.57      -450.98    
  97.35840222       1.0000       0.0000       0.0000       1407.6       0.0000       0.0000      1.68606E-28   45.994     -1.95218E-07  -451.71      -554.55      -451.30    
  98.32345920       1.0000       0.0000       0.0000       1403.2       0.0000       0.0000      1.68606E-28   46.080     -1.93824E-07  -448.30      -554.13      -450.73    
  99.82345920       1.0000       0.0000       0.0000       1407.1       0.0000       0.0000      1.68606E-28   45.771     -1.93564E-07  -447.67      -554.75      -454.42    
  101.3234592       1.0000       0.0000       0.0000       1371.3       0.0000       0.0000      1.61970E-28   47.143     -1.86931E-07  -431.49      -549.82      -440.94    
  102.8234592       1.0000       0.0000       0.0000       1385.1       0.0000       0.0000      9.21573E-29   46.369     -1.88540E-07  -435.39      -551.71      -448.29    
  104.3234592       1.0000       0.0000       0.0000       1438.9       0.0000       0.0000      1.82131E-29   42.207     -1.97152E-07  -456.40      -560.98      -467.63    
  105.8234592       1.0000       0.0000       0.0000       1299.0       0.0000       0.0000       0.0000      -13.331     -1.91253E-07  -442.04      -665.90      -181.35    
