#      time         order        tairmean     top       
  0.000000000       1.0000       16.876       16.867    
 0.1600000000       1.0000       16.874       16.864    
 0.3200000000       1.0000       16.871       16.862    
 0.3641584608       1.0000       16.871       16.861    
 0.3641584636       1.0000       16.871       16.861    
 0.6201584636       1.0000       16.866       16.855    
 0.8761584636       1.0000       16.860       16.849    
  1.388158464       1.0000       16.844       16.831    
  2.412158464       1.0000       16.803       16.788    
  3.912158464       1.0000       16.736       16.720    
  5.412158464       1.0000       16.670       16.654    
  6.297433212       1.0000       16.634       16.618    
  7.225855919       1.0000       16.601       16.585    
  8.161483220       1.0000       16.572       16.556    
  9.187946910       1.0000       16.546       16.531    
  10.03157721       1.0000       16.529       16.515    
  10.90060265       1.0000       16.519       16.505    
  11.43451445       1.0000       16.514       16.501    
  11.86106205       1.0000       16.512       16.499    
  12.33070534       1.0000       16.511       16.498    
  12.80216780       1.0000       16.510       16.499    
  13.25473096       1.0000       16.511       16.500    
  13.76434093       1.0000       16.512       16.501    
  14.24299272       1.0000       16.513       16.503    
  14.83166688       1.0000       16.513       16.504    
  15.88639879       1.0000       16.511       16.502    
  16.59321325       1.0000       16.508       16.499    
  17.12604816       1.0000       16.505       16.496    
  17.71025912       1.0000       16.501       16.492    
  18.24962479       1.0000       16.497       16.488    
  18.94977328       1.0000       16.493       16.484    
  19.78626644       1.0000       16.489       16.481    
  20.62726100       1.0000       16.486       16.478    
  21.50982991       1.0000       16.482       16.474    
  22.75822102       1.0000       16.475       16.466    
  24.00000000       1.0000       16.464       16.456    
  24.00000000       1.0000       16.464       16.456    
  24.28471348       1.0000       16.462       16.453    
  24.37149499       1.0000       16.461       16.452    
  24.37149500       1.0000       16.461       16.452    
  24.59926578       1.0000       16.459       16.450    
  24.82703657       1.0000       16.457       16.448    
  25.28257814       1.0000       16.452       16.442    
  26.19366128       1.0000       16.442       16.432    
  27.69366128       1.0000       16.422       16.411    
  29.19366128       1.0000       16.400       16.388    
  30.09283768       1.0000       16.386       16.374    
  31.08830303       1.0000       16.370       16.357    
  31.97757048       1.0000       16.356       16.343    
  33.04756084       1.0000       16.342       16.329    
  33.88941110       1.0000       16.335       16.322    
  34.76127594       1.0000       16.333       16.322    
  35.34732472       1.0000       16.334       16.324    
  35.78281607       1.0000       16.336       16.326    
  36.27930039       1.0000       16.338       16.330    
  36.72577459       1.0000       16.342       16.334    
  37.18620934       1.0000       16.346       16.339    
  37.72702919       1.0000       16.352       16.347    
  38.19777956       1.0000       16.359       16.354    
  38.78099773       1.0000       16.366       16.362    
  39.75042998       1.0000       16.372       16.369    
  40.48562907       1.0000       16.374       16.370    
  41.03121668       1.0000       16.373       16.368    
  41.64408862       1.0000       16.369       16.364    
  42.17085830       1.0000       16.365       16.359    
  42.84686747       1.0000       16.359       16.351    
  43.11727114       1.0000       16.356       16.348    
  43.65807848       1.0000       16.351       16.342    
  44.34432176       1.0000       16.343       16.334    
  45.08634580       1.0000       16.334       16.324    
  46.57039388       1.0000       16.318       16.308    
  47.82906358       1.0000       16.307       16.297    
  48.00000000       1.0000       16.306       16.295    
  48.00000000       1.0000       16.306       16.295    
  48.28918681       1.0000       16.304       16.293    
  48.37886363       1.0000       16.303       16.292    
  48.37886363       1.0000       16.303       16.292    
  48.61021308       1.0000       16.301       16.290    
  48.84156252       1.0000       16.299       16.289    
  49.30426141       1.0000       16.296       16.285    
  50.22965919       1.0000       16.289       16.278    
  51.72965919       1.0000       16.280       16.269    
  53.22965919       1.0000       16.276       16.266    
  54.11909138       1.0000       16.275       16.266    
  55.09445960       1.0000       16.274       16.265    
  55.98773669       1.0000       16.272       16.263    
  57.03659776       1.0000       16.271       16.262    
  57.87499262       1.0000       16.271       16.263    
  58.74268573       1.0000       16.272       16.264    
  59.33649617       1.0000       16.272       16.264    
  59.77375883       1.0000       16.272       16.264    
  60.27374094       1.0000       16.271       16.263    
  60.71901783       1.0000       16.270       16.262    
  61.18243655       1.0000       16.268       16.260    
  61.72533667       1.0000       16.265       16.257    
  62.19667389       1.0000       16.262       16.254    
  62.78081331       1.0000       16.258       16.249    
  63.75542510       1.0000       16.251       16.242    
  64.49044195       1.0000       16.245       16.235    
  65.03598772       1.0000       16.240       16.231    
  65.64730512       1.0000       16.235       16.225    
  66.17534654       1.0000       16.230       16.220    
  66.85295717       1.0000       16.224       16.213    
  66.90716602       1.0000       16.223       16.213    
  67.01558372       1.0000       16.222       16.212    
  67.05895080       1.0000       16.222       16.211    
  67.14568496       1.0000       16.221       16.210    
  67.31915328       1.0000       16.219       16.208    
  67.66608992       1.0000       16.215       16.204    
  68.35996321       1.0000       16.207       16.196    
  69.29925788       1.0000       16.194       16.182    
  70.79925788       1.0000       16.168       16.155    
  72.00000000       1.0000       16.145       16.131    
  72.00000000       1.0000       16.145       16.131    
  72.29496586       1.0000       16.139       16.125    
  72.38614970       1.0000       16.137       16.123    
  72.38614970       1.0000       16.137       16.123    
  72.62212239       1.0000       16.132       16.118    
  72.85809507       1.0000       16.127       16.113    
  73.33004044       1.0000       16.116       16.102    
  74.27393118       1.0000       16.092       16.078    
  75.77393118       1.0000       16.057       16.043    
  77.27393118       1.0000       16.024       16.010    
  78.16511146       1.0000       16.005       15.991    
  79.12942601       1.0000       15.984       15.970    
  80.04484791       1.0000       15.963       15.949    
  81.09330812       1.0000       15.939       15.925    
  81.93124331       1.0000       15.919       15.905    
  82.79848239       1.0000       15.899       15.885    
  83.36658614       1.0000       15.886       15.873    
  83.79947714       1.0000       15.877       15.864    
  84.28911923       1.0000       15.867       15.854    
  84.74000189       1.0000       15.859       15.846    
  85.19912675       1.0000       15.851       15.839    
  85.73227922       1.0000       15.842       15.830    
  86.20296054       1.0000       15.834       15.821    
  86.78617785       1.0000       15.822       15.809    
  87.77868424       1.0000       15.796       15.783    
  88.51017849       1.0000       15.775       15.762    
  89.05470158       1.0000       15.760       15.746    
  89.66102415       1.0000       15.742       15.729    
  90.19304647       1.0000       15.727       15.714    
  90.87684786       1.0000       15.707       15.694    
  91.15036841       1.0000       15.700       15.687    
  91.69740953       1.0000       15.685       15.672    
  92.43375692       1.0000       15.665       15.653    
  93.41073027       1.0000       15.641       15.628    
  94.79426438       1.0000       15.609       15.597    
  96.00000000       1.0000       15.586       15.574    
  96.00000000       1.0000       15.586       15.574    
  96.30071317       1.0000       15.580       15.569    
  96.39334297       1.0000       15.579       15.567    
  96.39334297       1.0000       15.579       15.567    
  96.63391351       1.0000       15.574       15.563    
  96.87448405       1.0000       15.570       15.559    
  97.35562512       1.0000       15.563       15.551    
  98.31790726       1.0000       15.548       15.537    
  99.81790726       1.0000       15.524       15.513    
  101.3179073       1.0000       15.503       15.492    
  102.2038766       1.0000       15.490       15.480    
  103.1510418       1.0000       15.477       15.466    
  104.0805698       1.0000       15.461       15.450    
  105.1141506       1.0000       15.444       15.433    
  105.9578615       1.0000       15.432       15.422    
  106.8246366       1.0000       15.426       15.416    
  107.3828147       1.0000       15.425       15.415    
  107.8125590       1.0000       15.427       15.418    
  108.2957924       1.0000       15.431       15.423    
  108.7498404       1.0000       15.436       15.429    
  109.2115549       1.0000       15.443       15.436    
  109.7381188       1.0000       15.450       15.443    
  110.2106347       1.0000       15.456       15.449    
  110.7936669       1.0000       15.460       15.454    
  111.7947915       1.0000       15.456       15.449    
  112.5213480       1.0000       15.448       15.439    
  113.0644037       1.0000       15.438       15.429    
  113.6676120       1.0000       15.424       15.414    
  114.2012495       1.0000       15.409       15.399    
  114.8867546       1.0000       15.388       15.377    
  115.1609566       1.0000       15.380       15.368    
  115.7093607       1.0000       15.362       15.351    
  116.4658640       1.0000       15.340       15.329    
  117.5011294       1.0000       15.317       15.305    
  118.9802372       1.0000       15.289       15.278    
  120.0000000       1.0000       15.270       15.260    
  120.0000000       1.0000       15.270       15.260    
  120.3063828       1.0000       15.265       15.254    
  120.4004367       1.0000       15.263       15.252    
  120.4004367       1.0000       15.263       15.252    
  120.6455429       1.0000       15.258       15.247    
  120.8906492       1.0000       15.254       15.243    
  121.3808616       1.0000       15.244       15.233    
  122.3612864       1.0000       15.222       15.211    
  123.8612864       1.0000       15.182       15.171    
  125.3612864       1.0000       15.137       15.126    
  126.2494990       1.0000       15.110       15.099    
  126.2494990       1.0000       15.110       15.099    
  126.5532979       1.0000       15.101       15.089    
  126.7323077       1.0000       15.095       15.084    
  126.7323077       1.0000       15.095       15.084    
  126.9753468       1.0000       15.088       15.076    
  127.2183859       1.0000       15.080       15.069    
  127.7044642       1.0000       15.065       15.053    
  128.6353738       1.0000       15.035       15.024    
  129.6233333       1.0000       15.007       14.996    
