#      time         order        tairmean     top       
  0.000000000       1.0000       21.000       20.906    
 0.1600000000       1.0000       20.906       20.902    
 0.3200000000       1.0000       20.958       20.952    
 0.3641584608       1.0000       20.974       20.965    
 0.3641584636       1.0000       20.974       20.965    
 0.6201584636       1.0000       21.009       20.981    
 0.8761584636       1.0000       21.004       20.976    
  1.388158464       1.0000       21.001       20.975    
  2.412158464       1.0000       21.002       20.973    
  3.912158464       1.0000       21.000       20.972    
  5.412158464       1.0000       21.005       20.961    
  6.297433212       1.0000       21.019       20.951    
  7.225855919       1.0000       20.994       20.951    
  8.161483220       1.0000       20.985       20.947    
  9.187946910       1.0000       20.998       20.948    
  10.03157721       1.0000       21.005       20.958    
  10.90060265       1.0000       21.006       20.956    
  11.43451445       1.0000       21.009       20.949    
  11.86106205       1.0000       21.020       20.944    
  12.33070534       1.0000       21.022       20.930    
  12.80216780       1.0000       21.005       20.916    
  13.25473096       1.0000       20.984       20.914    
  13.76434093       1.0000       20.982       20.927    
  14.24299272       1.0000       20.989       20.938    
  14.83166688       1.0000       20.995       20.941    
  15.88639879       1.0000       20.996       20.937    
  16.59321325       1.0000       21.002       20.944    
  17.12604816       1.0000       21.010       20.955    
  17.71025912       1.0000       21.019       20.954    
  18.24962479       1.0000       21.025       20.935    
  18.94977328       1.0000       21.020       20.902    
  19.78626644       1.0000       20.995       20.893    
  20.62726100       1.0000       20.975       20.916    
  21.50982991       1.0000       20.990       20.922    
  22.75822102       1.0000       20.998       20.925    
  24.00000000       1.0000       20.999       20.926    
  24.00000000       1.0000       20.999       20.925    
  24.28471348       1.0000       20.998       20.926    
  24.37149499       1.0000       20.999       20.927    
  24.37149500       1.0000       20.999       20.927    
  24.59926578       1.0000       21.000       20.927    
  24.82703657       1.0000       21.000       20.927    
  25.28257814       1.0000       21.000       20.927    
  26.19366128       1.0000       21.000       20.928    
  27.69366128       1.0000       20.999       20.928    
  29.19366128       1.0000       21.001       20.926    
  30.09283768       1.0000       21.017       20.919    
  31.08830303       1.0000       20.998       20.920    
  31.97757048       1.0000       20.983       20.919    
  33.04756084       1.0000       20.999       20.939    
  33.88941110       1.0000       21.016       21.020    
  34.76127594       1.0000       21.006       21.038    
  35.34732472       1.0000       21.000       21.002    
  35.78281607       1.0000       21.017       21.007    
  36.27930039       1.0000       21.027       21.019    
  36.72577459       1.0000       21.014       21.039    
  37.18620934       1.0000       20.995       21.068    
  37.72702919       1.0000       20.991       21.109    
  38.19777956       1.0000       20.987       21.114    
  38.78099773       1.0000       20.987       21.100    
  39.75042998       1.0000       20.985       21.031    
  40.48562907       1.0000       20.994       21.026    
  41.03121668       1.0000       21.002       21.035    
  41.64408862       1.0000       21.016       21.034    
  42.17085830       1.0000       21.023       21.015    
  42.84686747       1.0000       21.019       20.979    
  43.11727114       1.0000       21.009       20.963    
  43.65807848       1.0000       20.990       20.957    
  44.34432176       1.0000       20.975       20.973    
  45.08634580       1.0000       20.984       20.981    
  46.57039388       1.0000       20.999       20.970    
  47.82906358       1.0000       20.996       20.974    
  48.00000000       1.0000       20.996       20.975    
  48.00000000       1.0000       20.996       20.974    
  48.28918681       1.0000       20.998       20.977    
  48.37886363       1.0000       20.999       20.977    
  48.37886363       1.0000       20.999       20.977    
  48.61021308       1.0000       21.000       20.976    
  48.84156252       1.0000       21.000       20.975    
  49.30426141       1.0000       20.999       20.974    
  50.22965919       1.0000       20.999       20.973    
  51.72965919       1.0000       21.001       20.965    
  53.22965919       1.0000       21.006       20.945    
  54.11909138       1.0000       21.017       20.930    
  55.09445960       1.0000       20.997       20.929    
  55.98773669       1.0000       20.980       20.932    
  57.03659776       1.0000       20.996       20.931    
  57.87499262       1.0000       21.001       20.940    
  58.74268573       1.0000       20.998       20.947    
  59.33649617       1.0000       21.001       20.944    
  59.77375883       1.0000       21.014       20.942    
  60.27374094       1.0000       21.018       20.928    
  60.71901783       1.0000       21.003       20.916    
  61.18243655       1.0000       20.985       20.919    
  61.72533667       1.0000       20.983       20.935    
  62.19667389       1.0000       20.990       20.947    
  62.78081331       1.0000       20.995       20.953    
  63.75542510       1.0000       21.000       20.948    
  64.49044195       1.0000       21.003       20.949    
  65.03598772       1.0000       21.008       20.960    
  65.64730512       1.0000       21.016       20.963    
  66.17534654       1.0000       21.022       20.949    
  66.85295717       1.0000       21.016       20.922    
  66.90716602       1.0000       21.014       20.918    
  67.01558372       1.0000       21.009       20.913    
  67.05895080       1.0000       21.007       20.911    
  67.14568496       1.0000       21.002       20.907    
  67.31915328       1.0000       20.996       20.904    
  67.66608992       1.0000       20.988       20.907    
  68.35996321       1.0000       20.976       20.930    
  69.29925788       1.0000       20.985       20.943    
  70.79925788       1.0000       20.998       20.944    
  72.00000000       1.0000       20.997       20.949    
  72.00000000       1.0000       20.997       20.949    
  72.29496586       1.0000       20.990       20.950    
  72.38614970       1.0000       20.990       20.952    
  72.38614970       1.0000       20.990       20.952    
  72.62212239       1.0000       20.991       20.958    
  72.85809507       1.0000       20.991       20.963    
  73.33004044       1.0000       20.998       20.971    
  74.27393118       1.0000       21.002       20.970    
  75.77393118       1.0000       21.002       20.964    
  77.27393118       1.0000       21.004       20.954    
  78.16511146       1.0000       21.017       20.944    
  79.12942601       1.0000       20.996       20.945    
  80.04484791       1.0000       20.983       20.944    
  81.09330812       1.0000       20.991       20.948    
  81.93124331       1.0000       20.999       20.961    
  82.79848239       1.0000       21.000       20.967    
  83.36658614       1.0000       21.007       20.968    
  83.79947714       1.0000       21.019       20.965    
  84.28911923       1.0000       21.023       20.951    
  84.74000189       1.0000       21.006       20.936    
  85.19912675       1.0000       20.984       20.934    
  85.73227922       1.0000       20.976       20.950    
  86.20296054       1.0000       20.983       20.967    
  86.78617785       1.0000       20.991       20.979    
  87.77868424       1.0000       20.999       20.982    
  88.51017849       1.0000       21.005       20.985    
  89.05470158       1.0000       21.011       20.994    
  89.66102415       1.0000       21.017       20.995    
  90.19304647       1.0000       21.023       20.980    
